caption, comment, image
現状, , h010.jpg
ドローンによる空撮, 足場を組む前に屋根の現況を撮影, h017.jpg
足場組み2, , h011.jpg
シート掛け, , h012.jpg
足場組み2, シート張り完成, h013.jpg
足場シート完了2, , h014.jpg
駐車場出入口の足場組, , h016.jpg
瓦の現状チェック, , h18.jpg
破風部分の補修, , h019.jpg
古いポリカの現状, 止めボルト等に錆、ポリカに汚れあり, h020_0.jpg
ポリカ張替, 新しいポリカに貼り替え, h020.jpg
金属サイディング貼り2, , h021_0.jpg
金属サイディング貼り2, , h021.jpg
金属サイディング貼り3, , h022.jpg
金属サイディング貼り4, , h023.jpg
金属サイディング貼り5, , h024.jpg
温水器撤去, , hk0.jpg
撤去後, , hk1.jpg
レッカーによる降ろし1, , hk2.jpg
レッカーによる降ろし2, , hk3.jpg
レッカーによる降ろし3, , hk4.jpg
完了1, , hk5.jpg
完了2, , hk6.jpg
カラーベスト中・上塗り1, , hk01.jpg
カラーベスト中・上塗り2, , hk02.jpg
板金補修1, 板金劣化部(施工前), hk003.jpg
板金補修2, 板金補修(施工後), hk03.jpg
樋・軒天塗装1, , hk04.jpg
樋・軒天塗装, , hk06.jpg
樋・軒天塗装3, , hk05.jpg
外壁塗装1, , hk07.jpg
外壁塗装2, , rt1.jpg
鉄柱塗装, , rt2.jpg
板金塗装, , rt3.jpg
屋根上塗り1, , rt4.jpg
屋根上塗り2, , rt5.jpg
