caption,comment,image
足場組み1　(3/30),,hy001
足場組み2,,hy002
足場組み3,,hy003
足場外し4,,hy004
保護シート貼り 1,,hy006
保護シート貼り 2,,hy005
南側保護シート貼り 3,,hy007
高圧洗浄1 ,,hay01
高圧洗浄 2 ,,hay02
高圧洗浄 3 ,,hay03
高圧洗浄 4 ,,hay04
ベランダ床下 ,,hay05
廊下 現状,,hay07
ベランダ床下洗浄北側 ,,hay08
ベランダ床下洗浄 南側 ,,hay14
養生1,,hay001
養生2 ,,yhay002
養生3 ,,hay09
養生4 ,,hay11
養生・洗浄 ,,hay12
ベランダ洗浄1 ,,h01250
戸羽子 塗装,,hy5553
ベランダ中塗り,,h1350
ベランダ上塗り,,hy555_2
ベランダ 床 補修戻し ,,hy555_1
外壁 中塗り1,,h1450
屋根上塗り1(4/17) ,,h1550
煙突の塗装2,,hy515_1
煙突の塗装2 ,,hy555_6
屋根上塗り1,,h1551
屋根上塗り2 ,,hy515_2
破風板塗装1(4/17),,hy555_4
外壁中・上塗り ,,hy555_11
手塗りで仕上げ ,細かなところも手塗りで丹念に仕上げて行きます。,hy555_9
外壁中・上塗り ,,hy555_10
足場外し1,,hy518
足場外し2 ,,hy517
完成 玄関前,,hy525_1
玄関 樋,,hy525_2
完成 北側,,hy522
ポリカ戻し完了 ,,hy0099
完成 東側 ,,hy523
完成 玄関1 ,,hy524
完成 玄関3 ,,hy524_2
完成 玄関4 ,,hy524_1
完成 西側 ,,hy525
完成 ベランダ ,,hy526
完成 全景 ,,hy527
看板 ,,hy528
看板の塗装 ,,hy529
