caption, comment, image
現状 南・西面 ,,yt11
現状 東・北面 ,,yt12
足組み (9/11) ,,yt13
足組み (9/12),,yt14
台風仕舞い (9/13) ,,yt15
構造材の現状（東北面） (9/20) ,,yt16
構造材の現状（東北側） (9/20) ,,yt17
構造材の現状（東北側） (9/20) ,,yt18
土台の入れ替え（東北側） (9/25) ,,yt19
通し柱の入替え（東北面） (9/29) ,,yt20
通し柱の入替え（東北側） (9/29) ,,yt21
通し柱の入替え（東北側） (9/29) ,,yt22
通し柱の入替え（東北側） (9/30) ,,yt23
掛けの補強（東北側） (9/30) ,,yt24
掛けの補強（東北側） (9/30) ,,yt25
掛けの補強（東北側） (10/2) ,,yt26
土台入替え前（東南側） (10/3) ,,yt27
土台の入替え（東南側） (10/3) ,,yt28
通し柱の入替え（東南側） (10/4) ,,yt29
通し柱入替え（東南側） (10/4) ,,yt31
通し柱入替え（東南側） (10/4) ,,yt30
土台入替え前（東南側） (10/3) ,,yt27
土台の入替え（東南側） (10/3) ,,yt28
通し柱の入替え（東南側） (10/4) ,,yt29
通し柱入替え（東南側） (10/4) ,,yt31
通し柱入替え（東南側） (10/4) ,,yt30
通し柱入替え（東南側） (10/5) ,,yt31
通し柱入替え完了（東南側） (10/5) ,,yt35
通し柱・防虫処理（東南側） (10/5) ,,yt35_1
胴差しの現状（東南側） (10/5) ,,yt34
胴差し入替え（東南側） (10/5) ,,yt33
胴差し入替え（東南側） (10/5) ,,yt32
胴差し入替え（東南側） (10/6) ,,yt36
胴差し・通柱入替え 完了 (10/6) ,,yt37
胴差しの現状（東南側） (10/5) ,,yt32
胴差し入替え（東南側） (10/6) ,,yt36
胴差し・通柱入替え 完了 (10/6) ,,yt37
断熱材入れ (10/11),,yt38
断熱材入れ (10/11),,yt38_1
構造用合板取付け (10/12) ,,yt39
構造用合板取付け (10/12) ,,yt39_1
防水シートの貼付け (10/14),,yt40
防水シートの貼付け (10/14),,yt41
防水シートの貼付け (10/14),,yt41_1
防水シートの貼付け (10/14),,yt42
防水シートの貼付け (10/14),,yt43
軒天の塗装 (10/14),,yt44
軒天の塗装 (10/14) ,,yt45
屋根の下塗り (10/14) ,,yt46_1
屋根の下塗り (10/14) ,,yt47
胴差しの補強（西壁面） (10/26) ,,yt48
胴差し差し替え（西壁面）(10/26) ,,yt49
新胴差しとの緊結 (10/26) ,,yt50
構造用合板張替え (10/26),,yt51
構造用合板張替え (10/26),,yt52
西北面の通し柱 (10/26) ,異常なし,  yt53
防水シート貼り (11/6) ,,yt54
既存の防水シートの確認 (11/6) ,,yt56
防水シートの上に下地作り (11/7) ,,yt55
下地の施工玄関回り (11/7),,yt57
下地の高さを均一化 (11/8),厚みの調整で下地胴縁は赤身仕様,  yt58
外壁全体に下地施工 (11/8) ,,yt59
サイディング貼付け 1 (11/15),,am1
サイディング貼付け 2 (11/15),,am2
サイディング貼付け 3 (11/15),,am3
サイディング貼付け 4 (11/15),,am4
雪止めの取付け 1 (11/18),,2ax1
雪止めの取付け 2 (11/18) ,,2ax2
雪止めの取付け 3 (11/18) ,,2ax3
金属サイディングの張上げ 1 (11/22) ,,2ay1
金属サイディングの張上げ 2 (11/22) ,,2ay2
金属サイディングの張上げ 3 (11/22) ,,2ay3
金属サイディングの張上げ 4 (11/22) ,,2ay4
金属サイディングの張上げ 5 (11/22) ,,2ay5
金属サイディングの張上げ 6 (11/22) ,,2ay6
金属サイディングの張上げ 7 (11/22) ,,2ay7
金属サイディングの張上げ 8 (11/22) ,,2ay8
玄関サイディング取付 1 (11/28) ,,1128_a
玄関サイディング取付 2 (11/28),,1128b
玄関サイディング取付 3 (11/28),,1128c
雪止めの取付け 5 (11/28),,1128d
屋根中・上塗り 1 (11/28),,1128e
屋根中・上塗り 2 (11/28),,1128h
屋根中・上塗り 3 (11/28),,1128g
屋根上塗り (11/28) ,,1128f
足場外し 1 (3/1) ,,kans00
足場外し 2,,kans01
足場外し 3,,kans03
足場外し 4,,kans02
全景南東 1 (3/2),,kans1
全景南東 2,,kans2
全景西北 3,,kans3
東面,,kans4
玄関正面（完成）,,ya329
