caption, comment, image
現状, , kt011.jpg
キッチンパネル現状, , kt012.jpg
解体, , kt013.jpg
下地工事, , kt13_1.jpg
換気扇カバー, 換気扇カバーは既存のものをクリーニング, kt015_1.jpg
完成1, , kt014.jpg
収納庫の取り替え, , kt15_2.jpg
完成, , kt015.jpg
