caption, comment, image
現状1, ,m1.jpg
現状2, ,m2.jpg
現状3, ,m3.jpg
カバー工法, 既存の床に貼り付ける,m4.jpg
玄関床完成1, ,m5.jpg
玄関床完成2, ,m6.jpg
玄関床完成3, ,m7.jpg
玄関ホール現状1, ,m2_1.jpg
玄関ホールのクロス捲り, ,m2_2.jpg
玄関ホールの掃除1, ,m8.jpg
玄関ホール掃除, 廃材の撤去,m2_3.jpg
玄関ホール清掃, ,m9.jpg
清掃完了, ,m2_4.jpg
クロス下地完成, ,m2_5.jpg
玄関框の下の補修, ,m2_6.jpg
玄関用クロス貼付け, ,m11.jpg
玄関完成, ,m10.jpg
