caption, comment
現状
現状
三日月漆喰の現状
屋根の水切り南側現状
板金南側の貼り替え
北側の張り替え
板金貼り替え
完成1
完成2
三日月 漆喰の補修
鬼・三日月の漆喰の補修
水切り補修
水切り補修
水切り補修完了
