caption, comment, image
現状(7/12), , ys001.jpg
基礎用ボルト設置, , ys002.jpg
木材の搬入, , ys003.jpg
板塀の設置, , ys004.jpg
組み立て, , ys005.jpg
組み立て2, , ys006.jpg
組み立て3, 基礎の下にスペーサーを設置, ys007.jpg
組み立て4, , ys008.jpg
組み立て5, , ys009.jpg
組み立て6, , ys010.jpg
組み立て7, , ys011.jpg
ブロック洗浄1, , wys5.jpg
ブロック洗浄2, , wys6.jpg
下塗り１, , wys3.jpg
下地２, , wys4.jpg
中塗り1, , wys7.jpg
中塗り2, , wys8.jpg
上塗り1, , wys9.jpg
上塗り2, , wys10.jpg
仕上げ塗り1, , wys14.jpg
仕上げ塗り2, , wys11.jpg
仕上げ塗り3, , wys12.jpg
完成1, , wys13.jpg
完成2, , y2y.jpg
完成3, , y4y.jpg
完成全景, , y3y.jpg
